congregation,denomination,betweenness,bridge,degree,end,gender,id,modularity,name,race,start
flatlands-drc,dutch reformed,0,false,1,1786,male,308,13,Arie Van Pelt,white,1766
flatlands-drc,dutch reformed,0.008686179785924,female_bridge,5,1796,female,309,13,Sara Van Brunt,white,1766
flatlands-drc,dutch reformed,0,false,3,1784,female,310,10,Geertie Lott,white,1764
flatlands-drc,dutch reformed,0,false,3,1784,female,311,4,Lybetie Ditmarse,white,1764
flatlands-drc,dutch reformed,0.015141612200436,male_bridge,7,1797,male,312,9,Hendrick Johnson,white,1764
flatlands-drc,dutch reformed,0,false,2,1789,female,313,9,Elizabeth Van Brunt,white,1764
flatlands-drc,dutch reformed,0,false,3,1784,male,314,9,Jurry Brouwer,white,1764
flatlands-drc,dutch reformed,0,false,3,1784,female,315,9,Maria Tedeman,white,1764
flatlands-drc,dutch reformed,0.008676707397935,female_bridge,4,1786,female,316,9,Lucretia Clendenning,white,1764
flatlands-drc,dutch reformed,0,false,3,1784,male,317,4,Dominicus Van der Veer,white,1764
flatlands-drc,dutch reformed,0.012986643932936,male_bridge,6,1802,male,318,9,Abraham Brouwer,white,1764
flatlands-drc,dutch reformed,0.0021549682675,false,4,1784,female,319,9,Teuntie DeHart,white,1764
flatlands-drc,dutch reformed,0,false,3,1784,female,320,4,wife of Dominicus Van der Veer,white,1764
flatlands-drc,dutch reformed,0,false,3,1784,female,321,9,Maria Lozier,white,1764
flatlands-drc,dutch reformed,0,false,2,1785,female,324,10,Tryntie Van Sicklen,white,1765
flatlands-drc,dutch reformed,0,false,3,1790,male,329,1,Leonard Van Bomelen,white,1765
flatlands-drc,dutch reformed,1.89447759780241E-05,false,5,1800,female,330,1,Annatie Sprong,white,1765
flatlands-drc,dutch reformed,0,false,1,1785,male,331,17,Stephan Rider,white,1765
flatlands-drc,dutch reformed,0.006754705747033,female_bridge,7,1802,female,332,17,Sara Leuyster,white,1765
flatlands-drc,dutch reformed,0,false,3,1785,female,334,4,Geertie Boerum,white,1765
flatlands-drc,dutch reformed,0,false,3,1785,female,335,4,Maria Van Dyck,white,1765
flatlands-drc,dutch reformed,0,false,2,1786,female,336,7,Maria Morrel,white,1766
flatlands-drc,dutch reformed,0,false,3,1786,male,341,6,Garret Covenhoven,white,1766
flatlands-drc,dutch reformed,0,false,3,1786,male,342,0,Garret Stoothof,white,1766
flatlands-drc,dutch reformed,0.105838756787358,female_bridge,13,1802,female,343,2,Maria Voorhees,white,1766
flatlands-drc,dutch reformed,0,false,3,1786,male,344,9,Christopher Stillwell,white,1766
flatlands-drc,dutch reformed,0.00220706640144,false,5,1795,female,347,7,Maria Ouke,white,1766
flatlands-drc,dutch reformed,0,false,3,1786,male,348,2,Jacob Leffersen,white,1766
flatlands-drc,dutch reformed,0.021549682675002,male_bridge,6,1802,male,351,9,Thomas Elsworth,white,1766
flatlands-drc,dutch reformed,0,false,3,1786,male,354,6,Lammetie Van der bilt,white,1766
flatlands-drc,dutch reformed,0,false,3,1786,female,355,9,Cornelia Brouwer,white,1766
flatlands-drc,dutch reformed,0.008619873070001,false,7,1793,male,356,12,Martin Schenck,white,1767
flatlands-drc,dutch reformed,0.008619873070001,false,7,1793,female,357,12,Sara Covenhoven,white,1767
flatlands-drc,dutch reformed,0,false,3,1796,male,360,4,Isaac Cortelyou,white,1773
flatlands-drc,dutch reformed,0,false,3,1796,female,361,4,Hilletie Rapelje,white,1773
flatlands-drc,dutch reformed,0.031165745805037,false,7,1795,male,362,17,Hendrick Wyckoff,white,1767
flatlands-drc,dutch reformed,0.010034671926072,false,6,1798,female,363,17,Sara Emans,white,1767
flatlands-drc,dutch reformed,0,false,3,1787,female,364,10,Catharina Van Sicklen,white,1767
flatlands-drc,dutch reformed,0,false,3,1797,male,365,4,Joost Van Brunt,white,1767
flatlands-drc,dutch reformed,0.017306052855925,female_bridge,5,1802,female,366,4,Elizabeth Durie,white,1767
flatlands-drc,dutch reformed,0.004347826086957,female_bridge,3,1797,female,367,1,Maria Schenck,white,1767
flatlands-drc,dutch reformed,0.0130464778504,male_bridge,7,1802,male,368,17,Johannes Emans,white,1767
